24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Card Name,Short Name,Types,Attack Type,Damage Type,Damage,Minimum Range,Range,Move Points,Duration,Trigger,Keep,Trigger Effect,Trigger 2,Keep 2,Trigger Effect 2,Text,Flavor Text,Play Text,Trigger Text,Trigger Attempt Text,Trigger Succeed Text,Trigger Fail Text,Trigger Text 2,Trigger Attempt Text 2,Trigger Succeed Text 2,Trigger Fail Text 2,Component1,Params1,Component2,Params2,Component3,Params3,Component4,Params4,Component5,Params5,Params,Plus Minus,Quality,Quality Warrior,Quality Priest,Quality Wizard,Quality Dwarf,Quality Elf,Quality Human,Rarity,Function Tags,Attachment Image,Status,Audio Key,Audio Key 2,Set,Level,Slots,Art,,,,,,,,
1,Amorphous Body,Amo. Body,Armor,,,,,,,,0,0,Armor,,,,,"""The foul beast's form wobbled  when I struck, but my hammer left no mark!""",,This Armor grants <u>Immunity</u> to Crushing. <u>Keep</u>.,<tta> is *resistant to damage -*,,,,,,,TriggeredArmorComponent,damageTypes=Crushing;invulnerableDamageType=Crushing,,,,,,,,,unplayable,,B,,,,,,,Common,,,Implemented,ARMOR,,0,,,Done,,,,,,,,
2,Bronze Plates,,Armor,,,,,,,,5,0,Armor,,,,,,,<u>Armor 4</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=4,,,,,,,,,unplayable,,D,,,,,,,Common,,,Implemented,ARMOR,,0,,,Done,,,,,,,,
3,Cloth Armor,,Armor,,,,,,,,3,8,Armor,,,,,"Ease of movement can be more important than the protection of metal or hide, as any Wizard will tell you. The cheapskates.",,<u>Armor 2</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=2,,,,,,,,,unplayable,,D,D,D,D,,,,Common,,,Implemented,ARMOR,,0,1,"Divine Armor,Boots,Helmet,Heavy Armor,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
4,Crafted Mail,,Armor,,,,,,,,4,0,Armor,,,,,"The superiority of Elven armor crafting over that of Dwarves' is a debatable point. Usually at length, and always ending in violence.",,<u>Armor 4</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=4,,,,,,,,,unplayable,+,B,B,B,C,,,,Uncommon,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor",Done,,,,,,,,
5,Crude Plates,,Armor,,,,,,,,3,0,Armor,,,,,,,"<u>Armor 4</u>. This Armor doesn't prevent damage from Attacks behind you. If this Armor prevents damage, move back 1. <u>Keep</u>.",<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=4;moveOnArmor;weakBehind;mustMoveBack,,,,,,,,,unplayable,,C,,,,,,,Common,,,Implemented,ARMOR,,0,7,,Done,,,,,,,,
6,Enabling Aura,,Armor,,,,,,,,4,0,Armor,,,,Your hand size is increased by 2.,,,<u>Armor 2</u>. <u>Keep</u>.,<tta> has a *magic aura* -,,,,,,,TriggeredArmorComponent,,,,,,,,,,unplayable,,B,B,B,B,,,,Rare,Helpful,,,ARMOR,,0,25,"Robes,Helmet",Done,,,,,,,,
7,Enchanted Mail,Ench. Mail,Armor,,,,,,,,4,0,Armor,,,,,"""See how it glints when struck? That is the mark of the Magesmith... No mortal armor can compare.""",,<u>Armor 5</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=5,,,,,,,,,unplayable,,AA,AA,AA,A,,,,Common,,,Implemented,ARMOR,,0,1,Heavy Armor,Done,,,,,,,,
8,Grounding Plates,Ground. Plate,Armor,,,,,,,,0,0,Armor,3,0,Armor,,,,This Armor grants <u>Immunity</u> to Electricity. <u>Keep</u>.,<tta> is wearing *armor* -,,,<u>Armor 4</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,TriggeredArmorComponent,damageReduction=0;invulnerableDamageType=Electrical,TriggeredArmorComponent,damageReduction=4;altTrigger,,,,,,,unplayable,,A,A,B,B,,,,Rare,,,Implemented,ARMOR,ARMOR,0,6,"Heavy Armor,Divine Armor",Done,,,,,,,,
9,Hardy Mail,,Armor,,,,,,,,3,0,Armor,,,,,"Reinforced here and here, it will last you a lifetime. Well, an average adventurer's lifetime anyway.",,<u>Armor 2</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=2,,,,,,,,,unplayable,,C,C,C,C,,,,Common,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
10,Holy Armor,,Armor,,,,,,,,4,0,Armor,,,,,,,"<u>Armor 1</u>.  When this Armor prevents damage, all allies (including you) <u>Heal 1</u>. <u>Keep</u>.",<tta> is wearing *armor* -,<ttas> *Holy Armor* turns damage into healing!,,,,,,TriggeredArmorComponent,damageReduction=1;alliesHealAmount=1,,,,,,,,,unplayable,,C,C,C,D,,,,Common,,,Implemented,ARMOR,,0,11,Divine Armor,Done,,,,,,,,
11,Ill-fitting Armor,Ill-Fit Armor,"Armor,Handicap",,,,,,,,4,0,Armor,0,0,Move,,,,<u>Armor 2</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,<u>Encumber 1</u>. <u>Keep</u>.,,<tta> is slowed by <tta_herhis> *armor*.,,TriggeredArmorComponent,damageReduction=2,EncumberComponent,encumber=1;altTrigger,,,,,,,unplayable,,E,E,E,E,,,,Common,,,Implemented,ARMOR,,0,8,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
12,Inspiring Armor,Inspire Arm.,Armor,,,,,,,,3,8,Armor,,,,,,,"<u>Armor 3</u>.  When this Armor prevents damage from an enemy controlled card, you and your closest ally draw a card.",<tta> is wearing *armor* -,<tta> and <tta_herhis> closest ally are *inspired!*,,,,,,TriggeredArmorComponent,damageReduction=3;selfDrawNumber=1;closestAllyDrawNumber=1;enemyControlledCard,,,,,,,,,unplayable,+,A,A,A,A,,,,Common,,,Implemented,ARMOR,,0,17,"Heavy Armor,Divine Armor",Done,,,,,,,,
13,Made of Stone,,Armor,,,,,,,,4,0,Armor,,,,,,,<u>Armor 3</u>. <u>Keep</u>.,<tta> is *resistant* to damage -,,,,,,,TriggeredArmorComponent,damageReduction=3,,,,,,,,,,,C,,,,,,,Common,,,Implemented,ARMOR,,0,,,HOLD,,,,,,,,
14,Mail,,Armor,,,,,,,,4,0,Armor,,,,,Interwoven rings of metal provide excellent protection from cuts and scrapes while being flexible enough to move easily.,,<u>Armor 2</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=2,,,,,,,,,unplayable,+,D,D,D,D,,,,Uncommon,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
15,Monkey Mail,,Armor,,,,,,,,4,0,Armor,,,,,A coconut fiber weave over a creeper harness. Surprisingly effective.,,<u>Armor 2</u>. <u>Keep</u>.,<tta> is wearing *armor*-,,,,,,,TriggeredArmorComponent,damageReduction=2,,,,,,,,,unplayable,,D,,,,,,,Common,,,Implemented,ARMOR,,0,,,Done,,,,,,,,
16,Only Bones,,Armor,,,,,,,,0,0,Armor,,,,,,,This Armor grants <u>Immunity</u> to Piercing and Slashing. <u>Keep</u>.,<tta> is *resistant to damage*-,,,,,,,TriggeredArmorComponent,"damageReduction=0;invulnerableDamageType=Piercing,Slashing",,,,,,,,,unplayable,,B,,,,,,,Common,,,Implemented,ARMOR,,0,,,Done,,,,,,,,
17,Reliable Hide Armor,Reliable Hide,Armor,,,,,,,,0,0,Armor,,,,,"Supple and strong, hide armor may not stop every blow, but it always takes some of the sting out.",,<u>Armor 1</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=1,,,,,,,,,unplayable,,D,D,D,D,,,,Common,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
18,Reliable Mail,,Armor,,,,,,,,0,0,Armor,,,,,I have worn this mail hauberk in more battles than I can count and never has it failed me.,,<u>Armor 2</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=2,,,,,,,,,unplayable,,B,B,B,B,,,,Rare,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
19,Resistant Hide,,Armor,,,,,,,,0,0,Armor,4,0,Armor,,,,"This Armor grants <u>Immunity</u> to Fire, Poison, Electricity, and Acid. <u>Keep</u>.",<tta> is wearing *armor* -,,,<u>Armor 1</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,TriggeredArmorComponent,"damageReduction=0;invulnerableDamageType=Acid,Electrical,Fire,Poison",TriggeredArmorComponent,damageReduction=1;altTrigger,,,,,,,unplayable,,B,,,,,,,Common,Harmful,,Implemented,ARMOR,ARMOR,0,6,Robes,Done,,,,,,,,
20,Rusty Armor,,Armor,,,,,,,,4,8,Armor,,,,,"""Sure, some bits fall off from time to time, but the thick parts are nigh-impenetrable!"" -Randimar the Manyhanded",,<u>Armor 3</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=3,,,,,,,,,unplayable,,D,D,D,D,,,,Common,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
21,Scaly Armor,,Armor,,,,,,,,0,0,Armor,4,0,Armor,,,,This Armor grants <u>Immunity</u> to Electricity and Arcane. <u>Keep</u>.,<tta> is *resistant to damage* -,,,<u>Armor 4</u>.<u>Keep</u>.,<tta> is *resistant to damage* -,,,TriggeredArmorComponent,"damageReduction=0;invulnerableDamageType=Electrical,Arcane",TriggeredArmorComponent,damageReduction=4;altTrigger,,,,,,,unplayable,,B,,,,,,,Common,,,Implemented,ARMOR,ARMOR,0,,,Done,,,,,,,,
22,Shimmering Aura,Shimmer Aura,Armor,,,,,,,,3,0,Armor,,,,,,,<u>Armor 3</u>.  This Armor only prevents damage from Magic and Projectile Attacks. <u>Keep</u>.,<tta> has a *magic aura* -,,,,,,,TriggeredArmorComponent,"damageReduction=3;attackTypes=Magic,Projectile",,,,,,,,,unplayable,,C,D,D,C,,,,Rare,,,Implemented,ARMOR,,0,3,"Heavy Armor,Divine Armor,Helmet,Boots,Robes,Dwarf Skill,Martial Skill",Done,,,,,,,,
23,Solid Mail,,Armor,,,,,,,,4,0,Armor,,,,,"What you sacrifice in coverage, you gain in density. This stuff can stop almost anything! Anything... Human.",,<u>Armor 3</u>. <u>Keep</u>.,<tta> is wearing *armor* -,,,,,,,TriggeredArmorComponent,damageReduction=3,,,,,,,,,unplayable,,B,B,C,D,,,,Common,,,Implemented,ARMOR,,0,1,"Heavy Armor,Divine Armor",Done,,,,,,,,
