16,,,,,,,,,,,,,,,,,,,,,,,,,
Id,Equipment Name,Short Name,Rarity,Level,Introductory Level,Total Value,Talent 1,Talent 2,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Slot,Slot Default,Image,Tags,Set,Manual Rarity,Manual Value
14,Rageblood Dagger,,Rare,12,6,25,1,1,Vicious Thrust,Vicious Thrust,Vicious Thrust,Dancing Cut,Raging Strike,Blind Rage,,,,,Weapon,,Weapon-Rageblood-Dagger,,0,,
24,Flaming Sword,,Epic,11,5,22,1,1,Fiery Stab,Fiery Stab,Fiery Stab,Strong Chop,Chop,Combustible,,,,,Weapon,,FlamingSword,,0,,
27,Nimble Hatchet,,Common,15,5,30,2,1,Skillful Strike,Skillful Strike,Strong Chop,Chop,Chop,Chop,,,,,Weapon,,Weapon Mattock 2,,0,,
28,Shadow Spear,,Rare,12,13,24,1,1,Penetrating Stab,Penetrating Stab,Fiery Stab,Tricky Stab,Tricky Stab,Wimpy,,,,,Weapon,,ShadowSpear,,0,,
32,Puncturing Dagger,,Uncommon,10,3,20,1,1,Vicious Thrust,Vicious Thrust,Dancing Cut,Lunging Hack,Lunging Hack,Lunging Hack,,,,,Weapon,,Weapon-Puncturing-Dagger,,0,,
34,Barbarian's Club,,Rare,18,8,36,2,2,Devastating Blow,Devastating Blow,Devastating Blow,Bash,Barge,Barge,,,,,Weapon,,Weapon Diamond Club 2,,0,,
37,Reliable Axe,,Rare,12,1,24,1,1,Chop,Chop,Chop,Chop,Chop,Chop,,,,,Weapon,,ReliableAxe,,0,,
42,Trident,,Rare,12,12,25,1,1,Penetrating Stab,Penetrating Stab,Polearm Slash,Shifty Stab,Stab,Large Weapon,,,,,Weapon,,Trident,,0,,
43,Dagger,,Uncommon,8,3,16,1,0,Dancing Cut,Lunging Thrust,Lunging Thrust,Lunging Thrust,Lunging Hack,Lunging Hack,,,,,Weapon,,Dagger,,0,,
45,Simple Dagger,,Uncommon,7,3,14,1,0,Dancing Cut,Lunging Thrust,Lunging Thrust,Lunging Hack,Lunging Hack,Lunging Hack,,,,,Weapon,,Weapon Stiletto 2,,0,,
47,Stout Club,,Uncommon,15,5,30,2,1,Bash,Bash,Bash,Bash,Simple Bash,Simple Bash,,,,,Weapon,,Cudgel,,0,,
49,Crummy Short Sword,Crummy Sword,Common,7,2,14,1,0,Chop,Chop,Chop,Penetrating Cut,Penetrating Cut,Stab,,,,,Weapon,,CrummySword,,0,,
50,Possessed Blade,,Rare,3,11,6,0,0,Fiery Stab,Dancing Cut,Lunging Hack,Lunging Hack,Demonic Miasma,Demonic Revenge,,,,,Divine Weapon,,Weapon Sword Of The Mob 3,,0,,
52,Splintering Cudgel,,Common,13,5,27,2,1,Bash,Bash,Bash,Simple Bash,Simple Bash,Simple Bash,,,,,Weapon,,Weapon-Splintering-Cudgel,,0,,
57,Sword of Loud Thoughts,Sword of Thoughts,Rare,12,3,24,1,1,Reaching Swing,Reaching Swing,Reaching Swing,Reaching Swing,Reaching Swing,Chop,,,,,Weapon,,SwordOfThoughts,,0,,
59,Rusted Blade,,Uncommon,6,3,13,0,0,Strong Stab,Lunging Thrust,Lunging Hack,Lunging Hack,Lunging Hack,Penetrating Cut,,,,,Weapon,,CrummySword,,0,,
61,Club,,Rare,7,5,15,1,0,Barge,Barge,Bash,Simple Bash,Vulnerable,Obvious Maneuver,,,,,Weapon,,Weapon-Splintering-Cudgel-2,,0,,
62,Curved Sword,,Common,1,5,3,0,0,Strong Stab,Shifty Stab,Stab,Penetrating Cut,Backbiting Strike,Fumble,,,,,Weapon,,Scimitar1,,0,,
63,Crude Polearm,,Common,7,5,15,1,0,Bash,Simple Bash,Simple Bash,Simple Bash,Stab,Stab,,,,,Weapon,,Weapon-Crude-Polearm,,0,,
64,Light Mace,,Uncommon,10,5,20,1,1,Bash,Simple Bash,Simple Bash,Simple Bash,Simple Bash,Weak Block,,,,,Weapon,,Mace,,0,,
65,Impervious Panoply,,Epic,17,12,17,1,-1,Arrogant Armor,Arrogant Armor,Heavy Armor,,,,,,,,Heavy Armor,,Heavy Armor Scale 2,,0,,
70,Vibrant Plate,,Rare,18,8,18,2,-1,Dynamic Armor,Dynamic Armor,Shimmering Aura,,,,,,,,Heavy Armor,,Heavy Armor Plate 2,,0,,
73,Emperor's Plate,,Epic,18,12,18,2,-1,Arrogant Armor,Arrogant Armor,Solid Mail,,,,,,,,Heavy Armor,,Heavy Armor Plate 3,,0,,
76,Tarik's Heavy Plate,,Rare,14,12,14,1,-1,Horned Plates,Heavy Armor,Shimmering Aura,,,,,,,,Heavy Armor,,Heavy Armor Plate 4,,0,,
79,Patchwork Storm Plate,Patch. Storm Plate,Rare,14,12,14,1,-1,Grounding Plates,Heavy Armor,Weakened Armor,,,,,,,,Heavy Armor,,Heavy Armor Plate 10,,0,,
81,Plate Mail,,Common,7,1,7,0,-1,Thickened Mail,Hardy Mail,Mail,,,,,,,,Heavy Armor,,Heavy Armor Plate 6,,0,,
82,Chainmail,,Uncommon,18,1,18,2,-1,Solid Mail,Solid Mail,Solid Mail,,,,,,,,Heavy Armor,,Heavy Armor Chain 1,,0,,
